location,size,total_sqft,bath,price,price_per_sqft
Sarjapur,3 Bedroom,2172,3,100,4604
other,6 BHK,3800,6,390,10263
Kumaraswami Layout,4 Bedroom,600,2,72,12000
8th Phase JP Nagar,3 BHK,3300,3,165,5000
Thubarahalli,3 BHK,1242,3,51,4106
other,1 Bedroom,410,1,48,11707
Uttarahalli,3 BHK,1245,2,43.58,3500
Kadugodi,2 BHK,1088,2,44,4044
Sahakara Nagar,2 BHK,1200,2,46,3833
TC Palaya,3 Bedroom,1995,3,100,5012
Haralur Road,2 BHK,1309,2,82,6264
other,3 BHK,1717,3,200,11648
7th Phase JP Nagar,3 BHK,2100,3,200,9523
other,2 Bedroom,880,1,90,10227
Abbigere,6 Bedroom,1200,6,95,7916
other,3 BHK,1250,3,42,3360
Hebbal,3 BHK,3520,5,240,6818
5th Phase JP Nagar,2 BHK,1041,2,54,5187
Sarjapur  Road,3 BHK,1505,2,60,3986
Bannerghatta,3 BHK,1776,3,150,8445
Bellandur,3 BHK,1767,3,89,5036
other,2 BHK,1293,2,80,6187
Kengeri,2 BHK,1320,2,50,3787
other,2 BHK,1280,2,68.48,5350
Thanisandra,2 BHK,1245,2,83.05,6670
Haralur Road,2 BHK,1027,1,44,4284
Yelenahalli,2 BHK,1200,2,46.17,3847
Kanakpura Road,3 BHK,1100,3,58,5272
other,3 Bedroom,1065,3,72,6760
Kannamangala,3 BHK,1814,3,129,7111
Ramagondanahalli,3 BHK,1610,2,112,6956
Kumaraswami Layout,1 Bedroom,850,1,78,9176
Kasavanhalli,3 BHK,1600,3,79,4937
other,3 BHK,3200,4,140,4375
other,3 BHK,1250,2,77.13,6170
Haralur Road,2 BHK,1243,2,46,3700
Kanakpura Road,3 BHK,1452,3,60.98,4199
other,3 BHK,1475,3,75,5084
Electronic City,2 BHK,1353,2,75,5543
other,4 Bedroom,2100,3,210,10000
Electronics City Phase 1,3 BHK,1750,3,58,3314
Whitefield,4 Bedroom,4800,4,550,11458
Sahakara Nagar,2 BHK,1270,2,96,7559
Battarahalli,4 Bedroom,2700,3,75,2777
8th Phase JP Nagar,4 Bedroom,1200,4,270,22500
Thanisandra,4 BHK,2695,4,188,6975
other,3 BHK,1330,3,65,4887
Electronic City,2 BHK,660,1,18,2727
BTM 2nd Stage,2 BHK,1400,2,90,6428
Gubbalala,4 BHK,4000,5,195,4875
Kanakpura Road,3 BHK,1700,3,75,4411
Kasavanhalli,2 BHK,1585,2,90,5678
Kothanur,3 BHK,1385,3,67,4837
Electronic City,2 BHK,1128,2,67,5939
Whitefield,4 Bedroom,60,4,218,363333
other,18 Bedroom,1200,18,200,16666
HSR Layout,2 BHK,1203,2,60,4987
Mallasandra,2 BHK,905,2,35,3867
Hennur Road,3 BHK,1450,3,79,5448
Varthur,2 BHK,1105,2,38,3438
Channasandra,2 Bedroom,1200,2,46.13,3844
Jalahalli,3 BHK,1530,2,89,5816
Whitefield,2 BHK,1105,2,35.4,3203
Dasarahalli,2 BHK,1333,2,78.56,5893
other,2 BHK,1065,2,45,4225
Haralur Road,2 BHK,1243,2,46,3700
Old Madras Road,3 BHK,1530,3,76.34,4989
Margondanahalli,2 Bedroom,1200,2,65,5416
Whitefield,2 BHK,1270,2,94,7401
Bellandur,3 BHK,1830,3,89,4863
Chandapura,2 BHK,900,2,35,3888
Attibele,4 Bedroom,2400,2,250,10416
other,6 Bedroom,7000,6,560,8000
Bannerghatta Road,3 BHK,1450,2,78,5379
other,3 BHK,1525,3,65,4262
Mahalakshmi Layout,2 BHK,1080,2,67,6203
other,2 BHK,1220,2,72,5901
Begur Road,2 BHK,1200,2,44.4,3700
Bommanahalli,2 BHK,1355,2,73.17,5400
R.T. Nagar,3 Bedroom,2400,3,348,14500
other,2 BHK,1500,2,60,4000
Koramangala,2 BHK,1355,2,95,7011
Electronic City,2 BHK,1070,2,57,5327
CV Raman Nagar,3 BHK,1980,4,180,9090
Bommasandra,2 BHK,842,2,30,3562
Bannerghatta Road,1 BHK,700,1,31.2,4457
other,3 BHK,2500,4,65,2600
other,3 Bedroom,1884,3,95,5042
other,2 BHK,1100,2,75,6818
Raja Rajeshwari Nagar,2 BHK,1196,2,40.54,3389
Budigere,3 BHK,1820,3,85,4670
other,8 Bedroom,1200,8,145,12083
Thanisandra,2 BHK,1185,2,43.5,3670
Varthur,3 BHK,2145,3,170,7925
Whitefield,2 BHK,1220,2,89,7295
Whitefield,2 BHK,1116,2,51.91,4651
6th Phase JP Nagar,2 BHK,1192,2,75,6291
Marathahalli,3 BHK,1449,3,110,7591
Ardendale,3 Bedroom,2500,3,250,10000
Electronic City,3 BHK,1700,3,90,5294
Hebbal,3 BHK,1920,3,150,7812
other,2 Bedroom,1350,2,90,6666
other,4 Bedroom,4800,5,350,7291
other,3 BHK,1700,3,74,4352
Hoodi,2 BHK,1447,3,76,5252
Kanakpura Road,2 BHK,1329,2,107,8051
Sarjapur  Road,3 BHK,1314,2,70.44,5360
other,3 Bedroom,1200,3,110,9166
Basavangudi,6 Bedroom,1214,3,220,18121
Hosa Road,3 BHK,1513,3,103,6807
Vittasandra,2 BHK,1246,2,67.5,5417
other,1 BHK,705,1,65,9219
Dasarahalli,2 BHK,1220,2,62,5081
Yelahanka New Town,3 BHK,1800,2,45,2500
Kaval Byrasandra,3 BHK,1400,3,75,5357
Kasavanhalli,2 BHK,1245,2,80,6425
other,3 BHK,1495,2,63,4214
Nagavara,3 Bedroom,2000,2,275,13750
Gollarapalya Hosahalli,2 BHK,996,2,36.5,3664
Yelahanka New Town,2 BHK,1000,2,44,4400
other,2 BHK,1250,2,75,6000
Chandapura,2 BHK,975,2,24.86,2549
Thanisandra,3 BHK,1261,2,80,6344
Electronics City Phase 1,2 BHK,1080,2,46,4259
other,2 BHK,1230,2,50,4065
Kammasandra,2 BHK,982,2,25.53,2599
Bommasandra,3 BHK,1260,3,49.36,3917
HSR Layout,3 BHK,1590,2,135,8490
Horamavu Agara,2 BHK,1220,2,39,3196
Electronic City Phase II,3 BHK,1320,2,38.12,2887
Green Glen Layout,3 BHK,1750,3,105,6000
Whitefield,3 BHK,1436,2,62.15,4327
TC Palaya,3 Bedroom,1200,2,66,5500
Malleshwaram,2 BHK,1500,2,140,9333
Varthur,3 BHK,1560,3,90,5769
Whitefield,3 BHK,3758,3,300,7982
other,2 BHK,1275,2,59,4627
other,2 BHK,1040,2,36.4,3500
Bellandur,3 BHK,2400,3,115,4791
Chamrajpet,6 Bedroom,1500,9,230,15333
Kaggalipura,4 Bedroom,3150,5,212,6730
Karuna Nagar,3 BHK,1960,3,165,8418
JP Nagar,4 BHK,3200,5,309,9656
Yeshwanthpur,2 BHK,1195,2,100,8368
Yelahanka,2 BHK,1195,2,53.105,4443
Hosakerehalli,5 BHK,4500,5,145,3222
Ulsoor,3 Bedroom,450,3,70,15555
other,4 Bedroom,4304,4,699,16240
other,1 BHK,648,1,40,6172
Sarjapur  Road,3 BHK,2100,3,130,6190
other,4 BHK,4209,4,602,14302
Kudlu,2 BHK,1027,2,44,4284
Whitefield,4 Bedroom,1575,4,250,15873
Bommasandra,3 BHK,1365,3,52.82,3869
Yelahanka New Town,1 BHK,650,1,18,2769
Chandapura,3 Bedroom,1200,2,52,4333
Cooke Town,2 BHK,1100,2,90,8181
7th Phase JP Nagar,3 BHK,1075,2,57,5302
Banashankari,2 BHK,1100,2,63,5727
other,3 BHK,1320,2,58,4393
Kammasandra,3 BHK,1500,3,65,4333
other,4 Bedroom,1200,5,150,12500
other,4 Bedroom,1125,3,126,11200
Vittasandra,2 BHK,1246,2,67.5,5417
Bhoganhalli,3 BHK,1718,3,90.2,5250
Bisuvanahalli,3 BHK,1075,2,32,2976
other,3 BHK,1480,3,75.48,5100
other,1 BHK,500,1,13,2600
other,5 Bedroom,2400,4,325,13541
Kaikondrahalli,4 Bedroom,1200,4,125,10416
Kanakpura Road,2 BHK,1041,2,36.44,3500
other,2 BHK,1128,2,48.4,4290
Hosur Road,3 BHK,1685,3,90,5341
other,2 BHK,1180,2,65,5508
other,2 BHK,1200,2,60,5000
other,3 BHK,1250,3,39.5,3160
Kanakpura Road,2 BHK,900,2,41,4555
other,2 BHK,1000,2,45,4500
Yelahanka New Town,2 Bedroom,600,2,80,13333
2nd Stage Nagarbhavi,4 Bedroom,600,3,82,13666
Vittasandra,2 BHK,1404,2,70,4985
Ramagondanahalli,3 BHK,1610,2,115,7142
Varthur,2 BHK,1760,2,85,4829
other,2 BHK,975,2,55,5641
other,2 BHK,1190,2,42,3529
Kudlu,2 BHK,1110,2,46,4144
Rajaji Nagar,3 BHK,2415,3,399,16521
Gunjur,2 BHK,1235,2,44.5,3603
other,2 BHK,1275,2,55,4313
other,2 BHK,1115,2,115,10313
Harlur,2 BHK,1197,2,76,6349
Begur Road,1 BHK,644,1,32,4968
Bellandur,2 BHK,1251,2,47,3756
Neeladri Nagar,2 BHK,1105,2,30,2714
other,2 BHK,1080,2,38,3518
Kudlu,4 BHK,2100,3,114,5428
Kammanahalli,4 Bedroom,1600,4,200,12500
NRI Layout,3 BHK,1731,3,64.11,3703
Hormavu,2 BHK,1206,2,55,4560
Choodasandra,3 BHK,1560,3,78,5000
7th Phase JP Nagar,1 BHK,750,1,47,6266
Billekahalli,2 BHK,1035,2,90,8695
Ramamurthy Nagar,7 Bedroom,1200,6,150,12500
Sarjapur  Road,1 BHK,702,1,35.8,5099
Attibele,3 Bedroom,1700,3,65,3823
HRBR Layout,2 BHK,1145,2,68.5,5982
Ramamurthy Nagar,3 BHK,1208,2,43.5,3600
Brookefield,3 BHK,1589,3,74,4657
other,2 BHK,560,2,22,3928
Yelahanka New Town,3 BHK,1426,2,61.5,4312
Green Glen Layout,3 BHK,1885,3,135,7161
Old Madras Road,2 BHK,935,2,37.77,4039
Old Madras Road,2 BHK,1171,2,73,6233
Singasandra,2 BHK,1465,2,60,4095
Budigere,3 BHK,1820,3,95,5219
Raja Rajeshwari Nagar,3 BHK,1580,2,66.85,4231
Whitefield,3 BHK,1452,2,46.29,3188
Hennur Road,3 BHK,1445,2,89.56,6197
other,2 BHK,1170,2,39,3333
other,2 BHK,1070,2,50,4672
Kanakpura Road,3 BHK,1100,3,53,4818
Kothanur,2 BHK,1140,2,56,4912
Rachenahalli,3 BHK,2600,3,160,6153
other,3 BHK,1532,3,59.75,3900
other,2 BHK,1150,2,46,4000
Jakkur,2 BHK,1473,2,85,5770
Kathriguppe,3 BHK,1350,3,80.99,5999
Prithvi Layout,4 BHK,4040,4,500,12376
CV Raman Nagar,3 BHK,1980,4,166,8383
Hoodi,3 BHK,1660,3,128,7710
Kogilu,7 Bedroom,2456,7,85,3460
Chamrajpet,2 BHK,650,2,45,6923
Neeladri Nagar,5 Bedroom,4000,5,425,10625
Malleshwaram,3 BHK,2475,4,340,13737
other,3 BHK,1495,3,90,6020
R.T. Nagar,2 BHK,1080,2,48,4444
Electronic City,3 BHK,1521,2,57.5,3780
other,2 BHK,1053,2,51,4843
Binny Pete,3 BHK,2406,5,289,12011
Kanakpura Road,4 Bedroom,800,5,115,14375
7th Phase JP Nagar,2 BHK,1050,2,42,4000
Thanisandra,3 BHK,1430,2,51.48,3600
Begur,3 BHK,2400,3,12,500
other,3 BHK,1250,3,39,3120
other,4 Bedroom,1200,2,75,6250
Ulsoor,1 Bedroom,840,1,150,17857
Uttarahalli,2 BHK,1000,2,39.5,3950
Bannerghatta Road,3 BHK,1630,3,68,4171
Kammasandra,2 BHK,985,2,40.5,4111
BTM 2nd Stage,2 BHK,1200,2,70,5833
Ambalipura,3 BHK,1650,3,100,6060
Mico Layout,3 BHK,1670,3,59,3532
5th Block Hbr Layout,5 BHK,1200,5,205,17083
Sarjapur  Road,4 Bedroom,1240,4,110,8870
other,2 BHK,1000,2,60,6000
other,2 BHK,830,2,26,3132
Ramagondanahalli,3 Bedroom,1200,3,56.1,4675
other,5 Bedroom,9600,7,2736,28500
Begur Road,4 BHK,2500,6,122.5,4900
Haralur Road,2 BHK,1140,2,43,3771
Nagarbhavi,3 BHK,1635,3,85,5198
HSR Layout,2 BHK,1120,2,70,6250
other,6 Bedroom,2750,6,200,7272
Sector 7 HSR Layout,3 BHK,1760,3,185,10511
Harlur,3 BHK,2137,3,110,5147
Hennur Road,2 BHK,973,2,50.74,5214
Kundalahalli,3 BHK,1724,3,146,8468
Banashankari,2 BHK,1020,2,40.79,3999
other,4 Bedroom,1200,4,375,31250
Electronic City,1 BHK,750,1,35,4666
Kambipura,2 BHK,883,2,49,5549
other,2 Bedroom,660,2,76,11515
Ramagondanahalli,4 BHK,2787,5,220,7893
other,3 BHK,1470,2,60,4081
Electronics City Phase 1,2 BHK,891,2,24.95,2800
other,2 BHK,1275,2,76,5960
Kothanur,3 BHK,1787,3,120,6715
8th Phase JP Nagar,5 Bedroom,1730,5,75,4335
Sarjapur  Road,2 BHK,1320,2,110,8333
Yeshwanthpur,3 BHK,1692,3,108,6382
Bannerghatta Road,3 BHK,1400,3,69,4928
Sarjapur  Road,2 BHK,1115,2,50,4484
Whitefield,2 BHK,1370,2,56,4087
other,3 BHK,1602,3,56,3495
other,1 BHK,793,1,40,5044
GM Palaya,1 BHK,675,1,35,5185
Chikka Tirupathi,4 Bedroom,3250,4,136,4184
Whitefield,2 BHK,1050,2,43,4095
Jalahalli East,2 BHK,1035,2,42.5,4106
Sarjapur  Road,3 BHK,1200,2,44,3666
Sarjapur  Road,3 BHK,1800,3,128,7111
Green Glen Layout,3 BHK,1625,3,70,4307
Electronics City Phase 1,2 BHK,1032,2,31.99,3099
Whitefield,3 BHK,1496,2,71.81,4800
other,2 BHK,1100,2,38,3454
Kundalahalli,3 BHK,1500,3,50,3333
Electronic City Phase II,2 BHK,1125,2,32.63,2900
other,3 BHK,1555,3,73,4694
Amruthahalli,2 BHK,1025,2,42,4097
Hennur Road,3 BHK,1482,2,83.73,5649
other,3 BHK,1630,2,130,7975
Arekere,2 BHK,900,2,44.5,4944
Yelahanka,3 BHK,1355,2,75,5535
other,4 Bedroom,2360,4,601,25466
Akshaya Nagar,2 BHK,1200,2,45,3750
other,3 BHK,1563,3,63,4030
other,4 Bedroom,1344,4,84,6250
other,3 BHK,3000,3,400,13333
5th Phase JP Nagar,2 BHK,812,2,42,5172
Basaveshwara Nagar,2 BHK,1200,2,70,5833
Yelahanka,4 BHK,3175,4,156,4913
Marathahalli,2 BHK,1360,2,101,7426
Hegde Nagar,3 BHK,1835,3,88,4795
Rachenahalli,3 BHK,1756,3,110,6264
8th Phase JP Nagar,3 BHK,1296,2,51.83,3999
Haralur Road,2 BHK,1300,2,75,5769
Anandapura,2 BHK,1141,2,50,4382
Poorna Pragna Layout,3 BHK,1270,2,50.79,3999
Electronic City,2 BHK,1210,2,55,4545
Hormavu,2 BHK,1310,2,67,5114
other,5 Bedroom,1356,5,139,10250
Magadi Road,3 BHK,1187,2,55.195,4649
Gubbalala,3 BHK,1745,3,140,8022
KR Puram,5 Bedroom,1200,5,125,10416
Raja Rajeshwari Nagar,2 BHK,1050,2,37,3523
Banashankari,4 Bedroom,2400,4,500,20833
Electronic City Phase II,2 BHK,1140,2,34,2982
Varthur,2 BHK,1210,2,54,4462
Kasavanhalli,3 BHK,2035,3,142,6977
Sarjapur,1 BHK,633,1,17.09,2699
Amruthahalli,1 BHK,485,1,19.5,4020
Varthur,2 BHK,1112,2,40,3597
other,2 Bedroom,1200,2,82,6833
Sarjapur  Road,3 BHK,2275,4,187,8219
other,3 BHK,1419,3,85,5990
other,2 BHK,1195,2,42.4,3548
other,3 Bedroom,2020,3,270,13366
Kundalahalli,2 BHK,1047,2,91,8691
Thanisandra,3 BHK,1884,4,117,6210
Malleshpalya,3 Bedroom,1200,3,149,12416
Bannerghatta Road,2 BHK,905,2,58,6408
JP Nagar,3 BHK,1500,2,108,7200
other,1 BHK,850,1,50,5882
Bommasandra Industrial Area,2 BHK,1125,2,32.49,2888
Tindlu,2 BHK,1165,2,59.8,5133
other,2 BHK,933,2,55,5894
Hennur Road,3 BHK,1305,2,77,5900
Billekahalli,2 BHK,1125,2,65,5777
other,2 BHK,865,2,33,3815
Jigani,3 BHK,1245,3,66,5301
Kalyan nagar,2 BHK,8840,2,300,3393
other,3 BHK,1145,2,60,5240
AECS Layout,3 BHK,2000,3,90,4500
Hosa Road,1 BHK,625,1,43.68,6988
Kundalahalli,3 BHK,1724,3,128,7424
other,1 Bedroom,400,1,75,18750
Sarjapur  Road,3 BHK,1270,2,54,4251
other,3 BHK,1250,3,39.5,3160
Jakkur,3 BHK,1485,3,72,4848
other,2 BHK,823,2,80,9720
7th Phase JP Nagar,2 BHK,990,2,50,5050
TC Palaya,3 Bedroom,1200,2,66,5500
Kothanur,2 BHK,1185,2,59,4978
Kadubeesanahalli,2 BHK,1140,2,78,6842
Ambedkar Nagar,3 BHK,1950,4,120,6153
Yelahanka,3 BHK,1756,3,125,7118
Kumaraswami Layout,4 Bedroom,2600,4,300,11538
Chandapura,1 BHK,520,1,14.04,2700
other,2 BHK,1025,2,48,4682
Whitefield,2 BHK,1216,2,72,5921
Sarjapur  Road,2 BHK,1026,2,60.8,5925
Sarjapur  Road,4 BHK,3335,4,300,8995
Kodichikkanahalli,5 Bedroom,2700,4,125,4629
Begur,3 BHK,1411,2,60,4252
Kanakpura Road,3 BHK,1320,2,39.6,3000
Bannerghatta,2 BHK,1320,2,50,3787
OMBR Layout,4 Bedroom,615,4,110,17886
Kalena Agrahara,3 BHK,1804,3,155,8592
HSR Layout,2 BHK,1140,2,46,4035
Banjara Layout,4 Bedroom,1200,4,105,8750
Hebbal,4 BHK,2375,4,189,7957
other,3 Bedroom,1750,3,120,6857
other,9 Bedroom,960,5,130,13541
TC Palaya,2 BHK,1152,2,55,4774
Thanisandra,2 BHK,965,2,54,5595
Lingadheeranahalli,3 BHK,1684,3,120,7125
Hennur Road,3 BHK,1672,3,86,5143
Panathur,2 BHK,1075,2,60,5581
Sarjapur,3 Bedroom,1500,5,95,6333
other,3 BHK,1464,3,56,3825
Hebbal,2 BHK,1420,2,99.26,6990
other,2 BHK,750,2,40,5333
Yeshwanthpur,2 BHK,1169,2,64.08,5481
Devanahalli,3 BHK,1290,2,62,4806
Kengeri,2 BHK,1160,2,40.6,3500
Shampura,7 Bedroom,2800,5,95,3392
Mysore Road,3 BHK,1500,3,70,4666
Domlur,3 BHK,1850,3,180,9729
other,3 BHK,1300,3,46,3538
Electronic City Phase II,3 BHK,1310,2,37.84,2888
other,3 BHK,2750,5,550,20000
other,3 BHK,2150,3,170,7906
5th Block Hbr Layout,6 BHK,5100,5,300,5882
Kanakpura Road,3 BHK,1300,2,69,5307
Kadugodi,3 Bedroom,1875,2,110,5866
Hulimavu,3 BHK,1260,2,82,6507
Kengeri,5 Bedroom,2500,4,100,4000
Begur Road,2 BHK,1241,2,64,5157
Sarjapur  Road,2 BHK,1025,2,45.5,4439
other,2 Bedroom,1500,1,218,14533
Electronic City,2 BHK,1070,2,60,5607
Begur,2 BHK,815,2,40,4907
Kanakpura Road,3 BHK,2000,3,105,5250
Malleshwaram,2 BHK,1400,2,190,13571
Varthur,4 Bedroom,1740,4,175,10057
ITPL,4 BHK,5667.5,5,300,5293
Sarjapur  Road,2 BHK,1216,2,70,5756
other,3 BHK,2200,2,190,8636
Hegde Nagar,4 Bedroom,3500,5,450,12857
Shampura,6 Bedroom,970,6,105,10824
Vidyaranyapura,7 Bedroom,3150,7,375,11904
Kanakpura Road,2 Bedroom,1200,2,62,5166
Marathahalli,2 BHK,1026,2,50.18,4890
Hulimavu,1 BHK,450,1,20,4444
KR Puram,2 BHK,1205,2,45.79,3800
other,2 BHK,1368,2,87,6359
Anekal,1 BHK,420,1,12.5,2976
Doddakallasandra,2 BHK,1270,2,42,3307
Anekal,2 BHK,614,1,28,4560
Margondanahalli,2 Bedroom,1050,2,58,5523
Yelahanka,2 BHK,1408,2,58,4119
Subramanyapura,3 BHK,1223,2,42.81,3500
other,3 BHK,1507,3,80,5308
other,2 BHK,1160,2,57,4913
other,3 Bedroom,1200,3,70,5833
Poorna Pragna Layout,2 BHK,960,2,50,5208
NGR Layout,2 BHK,1021,2,46,4505
Hegde Nagar,3 BHK,2162.03,4,129,5966
Channasandra,2 BHK,1065,2,36,3380
Attibele,1 BHK,400,1,10.25,2562
Bannerghatta Road,3 BHK,1465,2,75,5119
Kanakpura Road,2 BHK,900,2,41,4555
Marathahalli,3 BHK,1800,3,95,5277
other,2 BHK,1175,2,83,7063
other,3 BHK,6729,4,900,13374
Vijayanagar,4 Bedroom,1500,4,360,24000
Sanjay nagar,2 BHK,1050,2,59,5619
Electronic City Phase II,3 BHK,1400,2,40.43,2887
Indira Nagar,3 BHK,1650,3,150,9090
KR Puram,3 BHK,1827,3,97,5309
Thanisandra,3 BHK,1930,4,122,6321
Mysore Road,2 BHK,883,2,37,4190
Kengeri,1 BHK,550,1,16.75,3045
Electronic City,3 BHK,1400,2,40.44,2888
other,4 Bedroom,1350,4,310,22962
Kanakapura,3 BHK,1290,2,38.69,2999
Raja Rajeshwari Nagar,3 BHK,1021,3,59,5778
Whitefield,2 BHK,1158,2,55,4749
other,5 Bedroom,1200,4,99,8250
Nagarbhavi,3 BHK,1400,2,135,9642
Doddaballapur,4 Bedroom,2400,3,200,8333
Munnekollal,3 BHK,1200,2,57.9,4825
JP Nagar,3 BHK,1520,3,125,8223
Thanisandra,1 BHK,777,1,38.46,4949
EPIP Zone,3 BHK,2710,3,177,6531
Kenchenahalli,2 BHK,1150,2,57,4956
Yelahanka,2 BHK,1101,2,37,3360
Mahalakshmi Layout,3 BHK,1200,2,110,9166
Hebbal,2 BHK,1252,2,92,7348
Marathahalli,3 BHK,1650,3,85,5151
Marathahalli,2 BHK,1270,2,80,6299
Tumkur Road,2 BHK,992,2,70,7056
BEML Layout,3 BHK,2000,3,85,4250
other,2 BHK,893,2,34.5,3863
Bisuvanahalli,3 BHK,1075,2,41.49,3859
Kumaraswami Layout,7 Bedroom,3200,7,150,4687
Electronic City,2 BHK,1190,2,42,3529
other,3 Bedroom,800,2,60,7500
Sarjapur  Road,3 BHK,1814,3,63,3472
other,3 BHK,1400,3,98,7000
Bommasandra,5 Bedroom,1400,6,252,18000
Murugeshpalya,3 BHK,1344,2,56,4166
Whitefield,4 Bedroom,5400,5,475,8796
Kanakpura Road,3 BHK,1843,3,95,5154
other,2 BHK,1138,2,32,2811
other,3 BHK,1495,2,70,4682
Electronic City,2 BHK,880,2,19,2159
Whitefield,3 BHK,1396,3,74,5300
Garudachar Palya,3 BHK,1610,2,119,7391
Tindlu,2 BHK,1050,2,55,5238
other,3 BHK,1410,2,43.71,3100
Ramamurthy Nagar,2 BHK,1050,2,37.8,3599
Kumaraswami Layout,3 BHK,1310,2,85,6488
Yelahanka,2 BHK,1104,2,58,5253
Hennur Road,2 BHK,1165,2,67,5751
Kudlu,2 BHK,1027,2,44,4284
Hormavu,2 BHK,1310,2,60,4580
other,2 BHK,1052,2,52,4942
Singasandra,3 BHK,1464,3,56,3825
other,2 BHK,1000,2,45,4500
other,3 BHK,2240,3,300,13392
Electronic City,2 BHK,1150,2,38.08,3311
Thanisandra,3 BHK,2019,3,70.67,3500
Varthur,2 BHK,986,2,31,3144
Banashankari Stage III,1 Bedroom,1350,1,145,10740
9th Phase JP Nagar,8 BHK,800,8,140,17500
Akshaya Nagar,3 BHK,1893,4,95,5018
Gollarapalya Hosahalli,3 BHK,1318,3,56,4248
Yelahanka,3 BHK,1325,2,58,4377
Kereguddadahalli,2 BHK,800,2,33,4125
other,3 BHK,1300,3,42.25,3250
other,3 BHK,1300,2,60,4615
Jalahalli East,2 BHK,1010,2,52,5148
Banashankari,2 BHK,1260,2,75,5952
Ulsoor,4 Bedroom,2500,4,170,6800
other,3 Bedroom,1520,3,165,10855
Bellandur,3 BHK,1665,3,85,5105
Subramanyapura,3 BHK,1800,3,80,4444
Harlur,2 BHK,1197,2,75,6265
other,2 BHK,1050,2,45,4285
other,5 Bedroom,910,4,194,21318
Thanisandra,3 BHK,1241,2,68,5479
other,3 BHK,1567,2,62,3956
Kasavanhalli,3 BHK,1747,3,110,6296
Ramagondanahalli,3 BHK,1475,2,55,3728
other,4 Bedroom,600,4,70,11666
other,3 Bedroom,1524,4,400,26246
Hennur Road,2 BHK,980,2,51,5204
Dasanapura,2 BHK,966,2,58,6004
other,4 BHK,2360,3,185,7838
Sarjapur  Road,2 BHK,1112,2,62,5575
Electronic City,2 BHK,550,1,16,2909
other,3 BHK,1760,3,90,5113
Hennur,3 BHK,1830,2,113,6174
Yelahanka,2 BHK,1175,2,67.77,5767
Whitefield,2 BHK,1175,2,41,3489
Horamavu Banaswadi,2 BHK,1025,2,45,4390
Hennur Road,2 BHK,1232,2,80,6493
5th Phase JP Nagar,2 BHK,1010,2,57,5643
Sarjapur  Road,2 BHK,1273,2,60,4713
Battarahalli,2 BHK,1590,2,102,6415
other,2 BHK,1100,2,58.5,5318
Electronic City Phase II,3 BHK,1252,2,65,5191
1st Phase JP Nagar,4 BHK,2615,5,222,8489
other,5 Bedroom,1200,6,140,11666
Yelahanka,2 BHK,1322,2,77.9,5892
7th Phase JP Nagar,1 Bedroom,1000,1,60,6000
Harlur,3 BHK,1755,3,117,6666
Electronic City Phase II,2 BHK,1135,2,46,4052
Rajaji Nagar,8 Bedroom,1200,10,180,15000
Electronic City,4 Bedroom,1200,4,125,10416
Nagavarapalya,2 BHK,1260,2,85.5,6785
Hoodi,5 Bedroom,3250,5,395,12153
Ambedkar Nagar,4 Bedroom,3500,4,550,15714
other,5 Bedroom,1200,6,110,9166
Kanakpura Road,3 BHK,1100,2,53,4818
Electronic City Phase II,3 BHK,1305,3,65,4980
other,2 BHK,1236,2,50,4045
Uttarahalli,2 BHK,1125,1,45,4000
KR Puram,2 BHK,1075,2,32.25,3000
BEML Layout,3 BHK,2000,3,85,4250
other,8 Bedroom,772,5,60,7772
Thanisandra,6 Bedroom,2999.97,6,110,3666
Kadugodi,2 BHK,1150,2,42,3652
other,4 Bedroom,1440,4,240,16666
Hennur Road,2 BHK,1085,2,43.4,4000
Hebbal Kempapura,3 BHK,1785,3,165,9243
Malleshwaram,3 BHK,2475,4,300,12121
Thanisandra,3 BHK,1930,4,120,6217
other,2 BHK,600,4,70,11666
other,2 Bedroom,800,1,45,5625
Kumaraswami Layout,4 BHK,2450,3,110,4489
other,4 Bedroom,1200,4,120,10000
Bannerghatta Road,3 BHK,1920,3,122,6354
Kothannur,2 BHK,1085,2,34.2,3152
Thanisandra,1 BHK,760,1,50.4,6631
Sahakara Nagar,2 BHK,1201,2,80,6661
Electronic City,3 BHK,1615,3,97,6006
HSR Layout,2 BHK,1289,2,70,5430
Budigere,3 BHK,1991,4,100,5022
Kasavanhalli,2 BHK,1377,2,80,5809
Cunningham Road,3 BHK,2880,3,560,19444
other,3 Bedroom,1892,3,200,10570
Shivaji Nagar,3 BHK,2176,3,348,15992
Thanisandra,1 BHK,663,1,32.82,4950
Electronic City,2 BHK,1165,2,33.65,2888
Talaghattapura,3 BHK,3554,4,340,9566
Thanisandra,2 BHK,1260,2,45.5,3611
other,2 BHK,1095,2,39,3561
other,2 BHK,1050,2,65,6190
Seegehalli,2 BHK,1176,2,50,4251
Thanisandra,3 BHK,1801,3,115,6385
Whitefield,2 BHK,1315,2,55,4182
Parappana Agrahara,2 BHK,1194,2,46,3852
NRI Layout,2 Bedroom,2400,2,125,5208
Uttarahalli,3 BHK,1308,2,53,4051
Sarjapur  Road,4 Bedroom,4250,4,610,14352
Thanisandra,3 BHK,1806,6,116,6423
Thanisandra,4 Bedroom,3671,4,220,5992
Hoodi,3 BHK,2144,3,140,6529
Hoskote,2 BHK,1065,2,33.75,3169
Balagere,2 BHK,1205,2,67,5560
